Whs,Group,Vendor,ItemNo,UPC,Brand,Desc,Size,Pk,Units Cur,Cases Cur,Wt Cur
NW,AMAZON FRESH,BEECHERS HANDMADE CHEESE LLC,69627,7-82045-11200,BEECHERS,CRACKER ARTISAN,5 OZ,12,492.00,41.00,153.75
NW,AMAZON FRESH,BEECHERS HANDMADE CHEESE LLC,69631,7-82045-11207,BEECHERS,CURD HANDMADE FRESH PLAIN,6 OZ,12,"1,032.00",86.00,387.00
NW,AMAZON FRESH,BEECHERS HANDMADE CHEESE LLC,90932,7-82045-11287,BEECHERS,CRACKER CHEESE FLAGSHIP,5 OZ,12,732.00,61.00,231.80
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,35240,0-72210-84003,BEECHERS,FLAGSHIP AGED,5 LB,2,17.00,8.50,85.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,36099,0-72210-85069,BEECHERS,MARCO POLO,5 LB,2,2.00,1.00,10.60
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,36139,0-72210-85113,BEECHERS,MARCO POLO CHEESE PC,6 LB,1,12.00,12.00,72.05
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,69627,7-82045-11200,BEECHERS,CRACKER ARTISAN,5 OZ,12,60.00,5.00,18.75
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,69631,7-82045-11207,BEECHERS,CURD HANDMADE FRESH PLAIN,6 OZ,12,12.00,1.00,4.50
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,69633,7-82045-11209,BEECHERS,CURD HANDMADE FRESH MARKET HERB,6 OZ,12,36.00,3.00,13.50
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,90932,7-82045-11287,BEECHERS,CRACKER CHEESE FLAGSHIP,5 OZ,12,36.00,3.00,11.40
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,114166,7-82045-11293,BEECHERS,RICE BROWN & KALE,20 OZ,9,9.00,1.00,11.25
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,119387,0-72210-81737,BEECHERS,JUST JACK CHEESE PC,6 LB,1,5.00,5.00,30.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,119388,0-72210-81740,BEECHERS,FLAGSHIP AGED PC,8 LB,1,37.00,37.00,298.52
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,119453,0-72210-86040,BEECHERS,FLAGSHIP SMOKED PC,8 LB,1,5.00,5.00,39.50
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,215242,7-82045-11201,BEECHERS,MACARONI AND CHEESE WORLDS BEST NAT,20 OZ,8,88.00,11.00,110.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,220564,0-72210-42794,BEECHERS,DULCET DUTCH HOLLOW P/C NAT,8 LB,1,2.00,2.00,16.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,221621,7-82045-11352,BEECHERS,MAC AND CHEESE RST POBLANOS CHICKEN,20 OZ,8,8.00,1.00,10.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,225142,7-82045-11274,BEECHERS,MACARONI AND MARIACHI CHEESE  NAT,20 OZ,8,8.00,1.00,10.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,235851,7-82045-11339,BEECHERS,FLAGSHIP FOUR YEAR AGED NAT,40 LB,1,1.00,1.00,41.62
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,237371,7-82045-11382,BEECHERS,VERDE ENCHILADA BOWL GF NAT,9 OZ,8,16.00,2.00,9.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,238258,0-72210-43214,BEECHERS,FLAGSHIP FOUR YEAR AGED NAT,10 LB,1,1.00,1.00,10.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,238521,0-72210-43220,BEECHERS,FLAGSHIP FOUR YEAR AGED NAT PC,8 LB,1,3.00,3.00,24.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,247205,0-72210-43312,BEECHERS,NEW WOMAN JAMAICAN PEPPER,5 LB,2,11.00,5.50,55.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,247207,0-72210-43314,BEECHERS,NEW WOMAN JAMAICAN PEPPER PC,6 LB,1,11.00,11.00,66.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,32998,0-72210-79645,BEECHERS,JUST JACK CHEESE,5 LB,2,31.00,15.50,158.10
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,34454,0-72210-82889,BEECHERS,SAUCE CHEESE FLAGSHIP,5 LB,2,734.00,367.00,"3,670.00"
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,34985,0-72210-83608,BEECHERS,FLAGSHIP RESERVE,16 LB,1,1.00,1.00,17.33
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,35240,0-72210-84003,BEECHERS,FLAGSHIP AGED,5 LB,2,158.00,79.03,790.30
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,36099,0-72210-85069,BEECHERS,MARCO POLO,5 LB,2,25.00,12.50,132.50
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,36139,0-72210-85113,BEECHERS,MARCO POLO CHEESE PC,6 LB,1,3.00,3.00,18.01
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,36445,0-72210-85446,BEECHERS,FLAGSHIP AGED PC SM,8 LB,1,10.00,10.00,80.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,36446,0-72210-85447,BEECHERS,MARCO POLO PC SM,6 LB,1,1.00,1.00,6.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,69627,7-82045-11200,BEECHERS,CRACKER ARTISAN,5 OZ,12,"1,452.00",121.00,453.75
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,69631,7-82045-11207,BEECHERS,CURD HANDMADE FRESH PLAIN,6 OZ,12,"1,080.00",90.00,405.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,69633,7-82045-11209,BEECHERS,CURD HANDMADE FRESH MARKET HERB,6 OZ,12,"1,164.00",97.00,436.50
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,79579,0-72210-86039,BEECHERS,FLAGSHIP SMOKED,20 LB,2,8.00,4.00,162.72
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,90932,7-82045-11287,BEECHERS,CRACKER CHEESE FLAGSHIP,5 OZ,12,"1,140.00",95.00,361.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,117205,0-72210-87485,BEECHERS,FLAGSHIP,10 LB,1,55.00,55.00,560.62
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,119387,0-72210-81737,BEECHERS,JUST JACK CHEESE PC,6 LB,1,6.00,6.00,36.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,119388,0-72210-81740,BEECHERS,FLAGSHIP AGED PC,8 LB,1,31.00,30.93,249.51
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,119453,0-72210-86040,BEECHERS,FLAGSHIP SMOKED PC,8 LB,1,12.00,12.00,94.80
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,215242,7-82045-11201,BEECHERS,MACARONI AND CHEESE WORLDS BEST NAT,20 OZ,8,8.00,1.00,10.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,215792,7-82045-11335,BEECHERS,MACARONI AND CHEESE WORLDS BEST,6 LB,4,64.00,16.00,384.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,220564,0-72210-42794,BEECHERS,DULCET DUTCH HOLLOW P/C NAT,8 LB,1,3.00,3.00,24.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,220833,0-72210-42798,BEECHERS,DULCET DUTCH HOLLOW NAT,5 LB,2,2.00,1.00,10.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,224291,7-82045-11346,BEECHERS,FLAGSHIP KOSHER PRECUT 6 TO 8 OZ,10 LB,1,2.00,2.00,23.57
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,238258,0-72210-43214,BEECHERS,FLAGSHIP FOUR YEAR AGED NAT,10 LB,1,2.00,2.00,20.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,238521,0-72210-43220,BEECHERS,FLAGSHIP FOUR YEAR AGED NAT PC,8 LB,1,1.00,1.00,8.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,239993,7-82045-11384,BEECHERS,CRACKERS ORIGINAL NAT,1 OZ,100,500.00,5.00,31.25
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,247205,0-72210-43312,BEECHERS,NEW WOMAN JAMAICAN PEPPER,5 LB,2,27.00,13.50,135.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,247207,0-72210-43314,BEECHERS,NEW WOMAN JAMAICAN PEPPER PC,6 LB,1,11.00,11.00,66.00
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,34985,0-72210-83608,BEECHERS,FLAGSHIP RESERVE,16 LB,1,51.00,51.00,883.58
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,36099,0-72210-85069,BEECHERS,MARCO POLO,5 LB,2,178.00,89.00,943.40
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,36139,0-72210-85113,BEECHERS,MARCO POLO CHEESE PC,6 LB,1,80.00,80.00,480.32
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,69627,7-82045-11200,BEECHERS,CRACKER ARTISAN,5 OZ,12,"2,220.00",185.00,693.75
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,69631,7-82045-11207,BEECHERS,CURD HANDMADE FRESH PLAIN,6 OZ,12,"6,480.00",540.00,"2,430.00"
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,69633,7-82045-11209,BEECHERS,CURD HANDMADE FRESH MARKET HERB,6 OZ,12,"6,516.00",543.00,"2,443.50"
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,79579,0-72210-86039,BEECHERS,FLAGSHIP SMOKED,20 LB,2,67.00,33.28,"1,353.88"
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,90932,7-82045-11287,BEECHERS,CRACKER CHEESE FLAGSHIP,5 OZ,12,"1,488.00",124.00,471.20
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,117205,0-72210-87485,BEECHERS,FLAGSHIP,10 LB,1,449.00,449.00,"4,576.66"
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,119388,0-72210-81740,BEECHERS,FLAGSHIP AGED PC,8 LB,1,123.00,123.00,992.36
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,215792,7-82045-11335,BEECHERS,MACARONI AND CHEESE WORLDS BEST,6 LB,4,672.00,168.00,"4,032.00"
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,220833,0-72210-42798,BEECHERS,DULCET DUTCH HOLLOW NAT,5 LB,2,120.00,60.00,600.00
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,238521,0-72210-43220,BEECHERS,FLAGSHIP FOUR YEAR AGED NAT PC,8 LB,1,3.00,3.00,24.00
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,247205,0-72210-43312,BEECHERS,NEW WOMAN JAMAICAN PEPPER,5 LB,2,197.00,98.50,985.00
NW,FRED MEYER PER,BEECHERS HANDMADE CHEESE LLC,247207,0-72210-43314,BEECHERS,NEW WOMAN JAMAICAN PEPPER PC,6 LB,1,29.00,29.00,174.00
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,34454,0-72210-82889,BEECHERS,SAUCE CHEESE FLAGSHIP,5 LB,2,90.00,45.00,450.00
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,34593,0-72210-83070,BEECHERS,FLAGSHIP AGED LG PC,20 LB,1,59.00,59.00,"1,185.90"
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,36445,0-72210-85446,BEECHERS,FLAGSHIP AGED PC SM,8 LB,1,129.00,129.00,"1,032.00"
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,36446,0-72210-85447,BEECHERS,MARCO POLO PC SM,6 LB,1,38.00,38.00,228.00
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,69627,7-82045-11200,BEECHERS,CRACKER ARTISAN,5 OZ,12,936.00,78.00,292.50
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,79581,0-72210-86041,BEECHERS,HAG FLAGSHIP SMOKED PC,8 LB,1,42.00,42.00,331.80
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,84919,0-72210-86550,DPI,HAG CHEESE BITES VARIETY PK 1,8 LB,1,298.00,298.15,"2,325.55"
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,90932,7-82045-11287,BEECHERS,CRACKER CHEESE FLAGSHIP,5 OZ,12,624.00,52.00,197.60
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,208468,0-72210-42315,BEECHERS,FLAGSHEEP,14 LB,1,3.00,3.00,52.63
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,237371,7-82045-11382,BEECHERS,VERDE ENCHILADA BOWL GF NAT,9 OZ,8,152.00,19.00,85.50
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,237372,7-82045-11381,BEECHERS,BLANCO ENCHILADA BOWL GF NAT,9 OZ,8,104.00,13.00,58.50
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,237374,7-82045-11380,BEECHERS,ROJO ENCHILADA BOWL GF NAT,9 OZ,8,88.00,11.00,49.50
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,238521,0-72210-43220,BEECHERS,FLAGSHIP FOUR YEAR AGED NAT PC,8 LB,1,61.00,60.96,487.65
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,239993,7-82045-11384,BEECHERS,CRACKERS ORIGINAL NAT,1 OZ,100,"1,900.00",19.00,118.75
NW,HAGGEN,BEECHERS HANDMADE CHEESE LLC,247207,0-72210-43314,BEECHERS,NEW WOMAN JAMAICAN PEPPER PC,6 LB,1,14.00,14.00,84.00
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,36099,0-72210-85069,BEECHERS,MARCO POLO,5 LB,2,1.00,0.50,5.30
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,36139,0-72210-85113,BEECHERS,MARCO POLO CHEESE PC,6 LB,1,12.00,12.06,72.41
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,36445,0-72210-85446,BEECHERS,FLAGSHIP AGED PC SM,8 LB,1,1.00,1.00,8.00
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,69627,7-82045-11200,BEECHERS,CRACKER ARTISAN,5 OZ,12,144.00,12.00,45.00
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,69631,7-82045-11207,BEECHERS,CURD HANDMADE FRESH PLAIN,6 OZ,12,156.00,13.00,58.50
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,69633,7-82045-11209,BEECHERS,CURD HANDMADE FRESH MARKET HERB,6 OZ,12,396.00,33.00,148.50
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,90932,7-82045-11287,BEECHERS,CRACKER CHEESE FLAGSHIP,5 OZ,12,36.00,3.00,11.40
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,119387,0-72210-81737,BEECHERS,JUST JACK CHEESE PC,6 LB,1,4.00,4.00,24.00
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,119388,0-72210-81740,BEECHERS,FLAGSHIP AGED PC,8 LB,1,58.00,57.85,466.72
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,119453,0-72210-86040,BEECHERS,FLAGSHIP SMOKED PC,8 LB,1,15.00,15.00,118.50
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,220564,0-72210-42794,BEECHERS,DULCET DUTCH HOLLOW P/C NAT,8 LB,1,5.00,5.00,40.00
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,238522,0-72210-43221,BEECHERS,FLAGSHEEP PC,8 LB,1,1.00,1.00,8.00
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,239993,7-82045-11384,BEECHERS,CRACKERS ORIGINAL NAT,1 OZ,100,100.00,1.00,6.25
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,246453,7-82045-11386,BEECHERS,CRACKERS HONEY OAT NAT,5 OZ,12,12.00,1.00,3.75
NW,NW GROCERS,BEECHERS HANDMADE CHEESE LLC,247207,0-72210-43314,BEECHERS,NEW WOMAN JAMAICAN PEPPER PC,6 LB,1,9.00,9.01,54.05
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,32713,0-72210-78552,BEECHERS,JUST JACK CHEESE,40 LB,1,0.00,0.06,2.32
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,32998,0-72210-79645,BEECHERS,JUST JACK CHEESE,5 LB,2,3.00,1.50,15.30
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,33103,0-72210-80053,BEECHERS,FLAGSHIP AGED,40 LB,1,1.00,1.00,41.54
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,34593,0-72210-83070,BEECHERS,FLAGSHIP AGED LG PC,20 LB,1,5.00,5.00,100.50
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,34985,0-72210-83608,BEECHERS,FLAGSHIP RESERVE,16 LB,1,1.00,1.00,17.33
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,35240,0-72210-84003,BEECHERS,FLAGSHIP AGED,5 LB,2,617.00,308.50,"3,085.01"
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,36099,0-72210-85069,BEECHERS,MARCO POLO,5 LB,2,5.00,2.50,26.50
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,36139,0-72210-85113,BEECHERS,MARCO POLO CHEESE PC,6 LB,1,15.00,15.00,90.06
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,36445,0-72210-85446,BEECHERS,FLAGSHIP AGED PC SM,8 LB,1,9.00,9.00,72.00
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,36446,0-72210-85447,BEECHERS,MARCO POLO PC SM,6 LB,1,2.00,2.00,12.00
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,69627,7-82045-11200,BEECHERS,CRACKER ARTISAN,5 OZ,12,816.00,68.00,255.00
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,69631,7-82045-11207,BEECHERS,CURD HANDMADE FRESH PLAIN,6 OZ,12,"1,476.00",123.00,553.50
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,69633,7-82045-11209,BEECHERS,CURD HANDMADE FRESH MARKET HERB,6 OZ,12,"4,908.00",409.00,"1,840.50"
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,79579,0-72210-86039,BEECHERS,FLAGSHIP SMOKED,20 LB,2,2.00,1.00,40.68
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,90932,7-82045-11287,BEECHERS,CRACKER CHEESE FLAGSHIP,5 OZ,12,792.00,66.00,250.80
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,114166,7-82045-11293,BEECHERS,RICE BROWN & KALE,20 OZ,9,18.00,2.00,22.50
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,117205,0-72210-87485,BEECHERS,FLAGSHIP,10 LB,1,8.00,8.00,81.54
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,119387,0-72210-81737,BEECHERS,JUST JACK CHEESE PC,6 LB,1,13.00,13.00,78.00
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,119388,0-72210-81740,BEECHERS,FLAGSHIP AGED PC,8 LB,1,374.00,374.00,"3,017.43"
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,119453,0-72210-86040,BEECHERS,FLAGSHIP SMOKED PC,8 LB,1,17.00,17.00,134.30
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,208468,0-72210-42315,BEECHERS,FLAGSHEEP,14 LB,1,1.00,1.00,17.54
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,215242,7-82045-11201,BEECHERS,MACARONI AND CHEESE WORLDS BEST NAT,20 OZ,8,368.00,46.00,460.00
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,215792,7-82045-11335,BEECHERS,MACARONI AND CHEESE WORLDS BEST,6 LB,4,8.00,2.00,48.00
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,217743,7-82045-11315,BEECHERS,MACARONI AND CHEESE WORLDS BEST GF,18 OZ,9,81.00,9.00,91.17
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,220564,0-72210-42794,BEECHERS,DULCET DUTCH HOLLOW P/C NAT,8 LB,1,1.00,1.00,8.00
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,221621,7-82045-11352,BEECHERS,MAC AND CHEESE RST POBLANOS CHICKEN,20 OZ,8,8.00,1.00,10.00
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,221622,7-82045-11354,BEECHERS,MAC AND CHEESE FLAGSHIP SMOKED NAT,20 OZ,8,24.00,3.00,30.00
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,224291,7-82045-11346,BEECHERS,FLAGSHIP KOSHER PRECUT 6 TO 8 OZ,10 LB,1,3.00,3.00,35.36
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,225142,7-82045-11274,BEECHERS,MACARONI AND MARIACHI CHEESE  NAT,20 OZ,8,24.00,3.00,30.00
NW,OTHER,BEECHERS HANDMADE CHEESE LLC,235851,7-82045-11339,BEECHERS,FLAGSHIP FOUR YEAR AGED NAT,40 LB,1,1.00,1.00,41.62
